Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Abdelilah Saber,Right-Back,26,Sporting CP,Liga NOS,SSC Napoli,Serie A,2000-2001,NA,2500000
Adrian Mutu,Centre-Forward,21,Inter,Serie A,Hellas Verona,Serie A,2000-2001,NA,4000000
Alain Goma,Centre-Back,28,Newcastle,Premier League,Fulham,English Championship,2000-2001,NA,6000000
Alan Mahon,Left Midfield,22,Sporting CP,Liga NOS,Blackburn,English Championship,2000-2001,NA,2300000
Alan Thompson,Left Midfield,26,Aston Villa,Premier League,Celtic,Scottish Football League,2000-2001,NA,4400000
Aldo Duscher,Defensive Midfield,21,Sporting CP,Liga NOS,Dep. La Coruna,La Liga,2000-2001,NA,13000000
Aleksandr Panov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Saint-Etienne,Ligue 1,2000-2001,NA,2000000
Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier Liga,G. Bordeaux,Ligue 1,2000-2001,NA,3000000
Alen Boksic,Centre-Forward,30,Lazio,Serie A,Middlesbrough,Premier League,2000-2001,NA,3450000
Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,Premier League,2000-2001,NA,4500000
Alex Nyarko,Centre-Back,26,Lens,Ligue 1,Everton,Premier League,2000-2001,NA,6300000
Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,Premier League,2000-2001,NA,3750000
Alfonso,Centre-Forward,27,Real Betis,La Liga 2,FC Barcelona,La Liga,2000-2001,NA,16500000
Alpay Ozalan,Centre-Back,27,Fenerbahce,Super Lig,Aston Villa,Premier League,2000-2001,NA,9000000
Andrejs Rubins,Left Winger,21,Skonto Riga,Latvian Higher League,Crystal Palace,English Championship,2000-2001,NA,2800000
Andrejs Stolcers,Attacking Midfield,26,Shakhtar D.,Premier Liga,Fulham,English Championship,2000-2001,NA,3000000
Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,Premier League,2000-2001,NA,3000000
Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Lazio,Serie A,2000-2001,NA,17900000
Antonio Pacheco,Second Striker,24,Penarol,Uruguayan Primera DivisiÛn,Inter,Serie A,2000-2001,NA,3000000
Ashley Ward,Centre-Forward,29,Blackburn,English Championship,Bradford City,Premier League,2000-2001,NA,2100000
Ben Thatcher,Left-Back,24,Wimbledon,English Championship,Spurs,Premier League,2000-2001,NA,7540000
Bernard Diomede,Left Winger,26,AJ Auxerre,Ligue 1,Liverpool,Premier League,2000-2001,NA,4500000
Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,Ligue 1,2000-2001,NA,2700000
Bernt Haas,Right-Back,22,Grasshoppers,Swiss Super League,Sunderland,Premier League,2000-2001,NA,2100000
Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie,Rangers,Scottish Football League,2000-2001,NA,7250000
Bjorn Otto Bragstad,Centre-Back,29,Rosenborg BK,Norwegian Eliteserien,Derby,Premier League,2000-2001,NA,3000000
Bob Peeters,Centre-Forward,26,Roda JC,Eredivisie,Vitesse,Eredivisie,2000-2001,NA,6300000
Brett Emerton,Right Midfield,21,Sydney Olympic,A-League,Feyenoord,Eredivisie,2000-2001,NA,1800000
Bruno Cirillo,Centre-Back,23,Reggina,Serie A,Inter,Serie A,2000-2001,NA,7500000
Bulent Akin,Defensive Midfield,21,Denizlispor,Super Lig,Galatasaray,Super Lig,2000-2001,NA,5500000
Callum Davidson,Left-Back,24,Blackburn,English Championship,Leicester,Premier League,2000-2001,NA,2500000
Carl Cort,Centre-Forward,22,Wimbledon,English Championship,Newcastle,Premier League,2000-2001,NA,10500000
Carlos Gamarra,Centre-Back,29,Atletico Madrid,La Liga 2,Flamengo,Campeonato Brasileiro Serie A,2000-2001,NA,6250000
Catanha,Centre-Forward,28,Malaga CF,La Liga,Celta de Vigo,La Liga,2000-2001,NA,14420000
Cedric Roussel,Centre-Forward,23,Coventry City,Premier League,Wolves,English Championship,2000-2001,NA,2400000
Cesar Sanchez,Goalkeeper,28,Real Valladolid,La Liga,Real Madrid,La Liga,2000-2001,NA,6250000
Changui,Centre-Forward,23,SD Compostela,La Liga 2,Dep. La Coruna,La Liga,2000-2001,NA,3000000
Charles Amoah,Centre-Forward,25,FC St. Gallen,Swiss Super League,Sturm Graz,Austrian Bundesliga,2000-2001,NA,3930000
Chris Makin,Left-Back,27,Sunderland,Premier League,Ipswich,Premier League,2000-2001,NA,2100000
Chris Sutton,Centre-Forward,27,Chelsea,Premier League,Celtic,Scottish Football League,2000-2001,NA,9500000
Christian Bassedas,Attacking Midfield,27,Velez Sarsfield,Argentine Primera Division,Newcastle,Premier League,2000-2001,NA,5300000
Christian Dailly,Centre-Back,27,Blackburn,English Championship,West Ham,Premier League,2000-2001,NA,2600000
Christian Karembeu,Defensive Midfield,29,Real Madrid,La Liga,Middlesbrough,Premier League,2000-2001,NA,8750000
Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,2000-2001,NA,9000000
Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,1.Bundesliga,Bayern Munich ,1.Bundesliga,2000-2001,NA,2300000
Claude Makelele,Defensive Midfield,27,Celta de Vigo,La Liga,Real Madrid,La Liga,2000-2001,NA,14000000
Claudio Husain,Defensive Midfield,25,River Plate,Argentine Primera Division,SSC Napoli,Serie A,2000-2001,NA,9300000
Claudio Lopez,Centre-Forward,25,Valencia CF,La Liga,Lazio,Serie A,2000-2001,NA,23000000
Claus Jensen,Attacking Midfield,23,Bolton,English Championship,Charlton,Premier League,2000-2001,NA,6000000
Craig Bellamy,Left Winger,21,Norwich,English Championship,Coventry City,Premier League,2000-2001,NA,9250000
Craig Hignett,Right Winger,30,Barnsley FC,English Championship,Blackburn,English Championship,2000-2001,NA,4000000
Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,RC Strasbourg,Ligue 1,2000-2001,NA,2700000
Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,2000-2001,NA,3000000
Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,Premier League,2000-2001,NA,3800000
David Healy,Centre-Forward,21,Man Utd,Premier League,Preston NE,English Championship,2000-2001,NA,2000000
David Hopkin,Right Midfield,30,Bradford City,Premier League,Crystal Palace,English Championship,2000-2001,NA,2250000
David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,Premier League,2000-2001,NA,3750000
David Johnson,Left Winger,24,Ipswich,Premier League,Nottm Forest,English Championship,2000-2001,NA,4500000
David Sesa,Second Striker,26,Lecce,Serie A,SSC Napoli,Serie A,2000-2001,NA,7250000
David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,Premier League,2000-2001,NA,4500000
David Trezeguet,Centre-Forward,22,Monaco,Ligue 1,Juventus,Serie A,2000-2001,NA,23240000
Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,La Liga,2000-2001,NA,3500000
Didier Martel,Central Midfield,28,FC Utrecht,Eredivisie,Vitesse,Eredivisie,2000-2001,NA,2750000
Diego Placente,Left-Back,23,River Plate,Argentine Primera Division,Bay. Leverkusen,1.Bundesliga,2000-2001,NA,7300000
Diego Tristan,Centre-Forward,24,RCD Mallorca,La Liga,Dep. La Coruna,La Liga,2000-2001,NA,17750000
Dimitar Berbatov,Centre-Forward,19,CSKA Sofia,Bulgarian efbet League ,Bay. Leverkusen,1.Bundesliga,2000-2001,NA,2500000
Dino Baggio,Defensive Midfield,29,Parma,Serie A,Lazio,Serie A,2000-2001,NA,7500000
Dmitri Alenichev,Central Midfield,27,AS Roma,Serie A,FC Porto,Liga NOS,2000-2001,NA,3000000
Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,2000-2001,NA,7130000
Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,Premier League,2000-2001,NA,3750000
Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,Premier League,2000-2001,NA,5400000
Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League,Real Sociedad,La Liga,2000-2001,NA,2300000
Edmilson,Centre-Back,23,Sao Paulo,Campeonato Brasileiro Serie A,Olympique Lyon,Ligue 1,2000-2001,NA,11000000
Eidur Gudjohnsen,Centre-Forward,21,Bolton,English Championship,Chelsea,Premier League,2000-2001,NA,7500000
Elvir Bolic,Centre-Forward,28,Fenerbahce,Super Lig,Rayo Vallecano,La Liga,2000-2001,NA,2000000
Emerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,NA,18000000
Emerson,Defensive Midfield,28,CD Tenerife,La Liga 2,Dep. La Coruna,La Liga,2000-2001,NA,9600000
Emerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,Premier League,2000-2001,NA,6700000
Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa,Panathinaikos,Super League Souroti,2000-2001,NA,3000000
Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,FC Barcelona,La Liga,2000-2001,NA,15000000
Erman Guracar,Centre-Back,25,Samsunspor,Super Lig,Besiktas,Super Lig,2000-2001,NA,2250000
Espen Baardsen,Goalkeeper,22,Spurs,Premier League,Watford,English Championship,2000-2001,NA,2000000
Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,Ligue 1,2000-2001,NA,6000000
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Man Utd,Premier League,2000-2001,NA,11700000
Fazli Ulusal,Centre-Forward,26,Antalyaspor,Super Lig,Besiktas,Super Lig,2000-2001,NA,2500000
Feliciano Magro,Attacking Midfield,21,Grasshoppers,Swiss Super League,Udinese Calcio,Serie A,2000-2001,NA,2500000
Fernandao,Centre-Forward,22,Goias EC,Campeonato Brasileiro Serie A,Marseille,Ligue 1,2000-2001,NA,5000000
Fernando Meira,Centre-Back,22,Vit. Guimaraes,Liga NOS,Benfica,Liga NOS,2000-2001,NA,4000000
Fernando Redondo,Defensive Midfield,31,Real Madrid,La Liga,AC Milan,Serie A,2000-2001,NA,17500000
Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie,Rangers,Scottish Football League,2000-2001,NA,5400000
Flavio Conceicao,Central Midfield,26,Dep. La Coruna,La Liga,Real Madrid,La Liga,2000-2001,NA,25000000
Francesc Arnau,Goalkeeper,25,FC Barcelona,La Liga,Malaga CF,La Liga,2000-2001,NA,2100000
Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,2000-2001,NA,15300000
Francisco Farinos,Defensive Midfield,22,Valencia CF,La Liga,Inter,Serie A,2000-2001,NA,16250000
Frank Verlaat,Centre-Back,32,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,2000-2001,NA,2100000
Frederic Dehu,Centre-Back,27,FC Barcelona,La Liga,Paris SG,Ligue 1,2000-2001,NA,6000000
Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,AS Roma,Serie A,2000-2001,NA,36150000
Gabriel Schurrer,Centre-Back,28,Dep. La Coruna,La Liga,UD Las Palmas,La Liga,2000-2001,NA,2700000
Gary Naysmith,Left-Back,21,Heart of Midl.,Scottish Football League,Everton,Premier League,2000-2001,NA,2630000
Gary Rowett,Right-Back,26,Birmingham,English Championship,Leicester,Premier League,2000-2001,NA,4500000
Geoff Horsfield,Centre-Forward,26,Fulham,English Championship,Birmingham,English Championship,2000-2001,NA,3380000
Georgi Peev,Right Midfield,21,Lok. Sofia,Bulgarian efbet League ,Dynamo Kyiv,Premier Liga,2000-2001,NA,2000000
Gerard Lopez,Central Midfield,21,Valencia CF,La Liga,FC Barcelona,La Liga,2000-2001,NA,21600000
Gianni Guigou,Defensive Midfield,25,Nacional,Uruguayan Primera DivisiÛn,AS Roma,Serie A,2000-2001,NA,4000000
Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier Liga,Real Sociedad,La Liga,2000-2001,NA,5400000
Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie,Derby,Premier League,2000-2001,NA,5000000
Goran Gavrancic,Centre-Back,22,Cukaricki,Serbian SuperLiga,Dynamo Kyiv,Premier Liga,2000-2001,NA,2000000
Gustavo Nery,Left-Back,22,Guarani,Campeonato Brasileiro Serie A,Sao Paulo,Campeonato Brasileiro Serie A,2000-2001,NA,2300000
Haim Revivo,Attacking Midfield,28,Celta de Vigo,La Liga,Fenerbahce,Super Lig,2000-2001,NA,5000000
Hakan Sukur,Centre-Forward,28,Galatasaray,Super Lig,Inter,Serie A,2000-2001,NA,6500000
Henning Berg,Right-Back,30,Man Utd,Premier League,Blackburn,English Championship,2000-2001,NA,2630000
Hermann Hreidarsson,Centre-Back,25,Wimbledon,English Championship,Ipswich,Premier League,2000-2001,NA,6750000
Hernan Crespo,Centre-Forward,25,Parma,Serie A,Lazio,Serie A,2000-2001,NA,56810000
Herve Tum,Centre-Forward,21,FC Sion,Swiss Super League,FC Basel,Swiss Super League,2000-2001,NA,2000000
Igor Biscan,Centre-Back,22,Dinamo Zagreb,1.HNL,Liverpool,Premier League,2000-2001,NA,8250000
Ivica Banovic,Defensive Midfield,19,NK Zagreb,1.HNL,Werder Bremen,1.Bundesliga,2000-2001,NA,1900000
Ivica Dragutinovic,Centre-Back,24,KAA Gent,Jupiler Pro League,Standard Liege,Jupiler Pro League,2000-2001,NA,2200000
Jardel,Centre-Forward,26,FC Porto,Liga NOS,Galatasaray,Super Lig,2000-2001,NA,17050000
Jason Roberts,Centre-Forward,22,Bristol Rovers,English League One,West Brom,English Championship,2000-2001,NA,3000000
Jean-Francois Gillet,Goalkeeper,21,Monza,Serie B,Bari,Serie A,2000-2001,NA,2500000
Jeong-hwan Ahn,Centre-Forward,23,Busan IPark,K League,Perugia,Serie A,2000-2001,NA,3500000
Jesper Christiansen,Goalkeeper,22,Odense BK,Danish Superliga,Rangers,Scottish Football League,2000-2001,NA,2550000
